CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-09-2050	0.21609009546712	0.176831315651108	0.490106797044614	0	0.0300574240638744	0	0.018402049837939	7.8704628975414e-05	0	0.0027122789259776	0.0492093734622994	0	4.39147127587699e-05	0.0132311558821233	0.00323689032321011	0	0
TCGA-10-0937	0.308068012270506	0	0.45753768839564	0.112725757781368	0	0.00309010362607168	0	0.0121854362633179	0	0.0206167763467674	0	0	0	0	0	0.0201965037771706	0.0655797215391577
TCGA-10-0938	0.087249456561631	0.0842209195499326	0.262250768099788	0.0506657193483175	0.256332371885335	0	0.0905070317424113	0	0.0469543486157643	0	0.0909508875152249	0.0163955413162961	0.0104788346661439	0.00399412069915548	0	0	0
TCGA-13-0723	0.290082127830442	0.189682608036777	0.197807888154511	0.0553149444374457	0.174313742042782	0.0128625415433641	0.0162794824607985	0.00390272146028946	0.0223262951837723	0	0.000868711249448224	0.0014425869020295	0.0115769661749469	0	0	0.0235393845233927	0
TCGA-13-0727	0.42599860099304	0.161815403263988	0.260264742232094	0.0491563803627074	0.00873937369015073	0.0203313910728467	0	0	0.0208959191130489	0.0119609025926482	0	0	0	0	0.040837286679477	0	0
TCGA-13-0890	0.280451569255672	0.156253321419488	0.465898442665327	0	0.0231569906473274	0.00454346045058659	0.00892841865921965	0.00030600640037108	0.0173721482675233	0	0.0130256803607734	0.00112674308046614	0	0	0.0289372187932452	0	0
TCGA-13-0906	0.228163907159113	0.0626162496989951	0.461304242905002	0	0.0713883988121466	0	0.0210775310982068	0	0.0174829978331136	0	0.0214898406158577	0.00018747567883177	0	0.0104972001472237	0.10579215605151	0	0
TCGA-13-0912	0.474637861296142	0.176009339191957	0.1141458380188	0.00969246376476778	0.0817173051940532	0	0.00781358533914115	0	0.0428623469106864	0.0278189750519573	0.0613322132697915	0	0	0.00397007196270381	0	0	0
TCGA-13-1487	0.0235099088019827	0.242710404799513	0.226333262178162	0.0228083431722321	0.338762522141823	0	0.0892383971352039	0	0.000162003728379533	0	0.0410501763181662	0.000626008635561254	0	0	0	0.0147989730889761	0
TCGA-13-1491	0.357371787234925	0.135716824128759	0.336290429391111	0	0.0205717082326221	0	0.00461419247587016	0	0.0273609513082335	0.0336593795685904	0.0715552978802818	0	0	0.0128594297796077	0	0	0
